index,oszicar,vasprun,initial_E,difference,time_step,E_value_at_deviation
2,OSZICAR_2,vasprun_2.xml,-412.86665,0.16086999999998852,84,-413.02752
18,OSZICAR_18,vasprun_18.xml,-412.86669,0.10779999999999745,133,-412.75889
39,OSZICAR_39,vasprun_39.xml,-412.86669,0.331169999999986,97,-412.53552
55,OSZICAR_55,vasprun_55.xml,-412.86683,0.2317899999999895,96,-412.63504
58,OSZICAR_58,vasprun_58.xml,-412.86685,0.10667999999998301,94,-412.76017
63,OSZICAR_63,vasprun_63.xml,-412.86685,0.3924599999999714,89,-412.47439
70,OSZICAR_70,vasprun_70.xml,-412.86681,0.10597000000001344,90,-412.76084
76,OSZICAR_76,vasprun_76.xml,-412.8666,0.1199799999999982,83,-412.98658
102,OSZICAR_102,vasprun_102.xml,-412.86679,0.26912999999996146,85,-412.59766
116,OSZICAR_116,vasprun_116.xml,-412.86662,0.13146000000000413,103,-412.73516
122,OSZICAR_122,vasprun_122.xml,-412.8668,0.18193999999999733,84,-412.68486
146,OSZICAR_146,vasprun_146.xml,-412.86654,0.3523299999999949,83,-412.51421
181,OSZICAR_181,vasprun_181.xml,-412.86687,0.10989000000000715,98,-412.75698
188,OSZICAR_188,vasprun_188.xml,-412.86671,0.1218200000000138,92,-412.74489
194,OSZICAR_194,vasprun_194.xml,-412.86682,0.10213000000004513,106,-412.76469
199,OSZICAR_199,vasprun_199.xml,-412.86662,0.11572000000001026,103,-412.7509
202,OSZICAR_202,vasprun_202.xml,-412.86665,0.11797999999998865,77,-412.74867
203,OSZICAR_203,vasprun_203.xml,-412.86679,0.10072999999999865,80,-412.76606
206,OSZICAR_206,vasprun_206.xml,-412.86673,0.1701400000000035,84,-412.69659
216,OSZICAR_216,vasprun_216.xml,-412.86678,0.21161999999998216,100,-412.65516
228,OSZICAR_228,vasprun_228.xml,-412.86671,0.10446000000001732,136,-412.76225
232,OSZICAR_232,vasprun_232.xml,-412.86676,0.10323999999997113,106,-412.76352
256,OSZICAR_256,vasprun_256.xml,-412.86655,0.1261700000000019,104,-412.74038
267,OSZICAR_267,vasprun_267.xml,-412.86687,0.14525000000003274,76,-412.72162
286,OSZICAR_286,vasprun_286.xml,-412.86688,0.10571999999996251,111,-412.76116
292,OSZICAR_292,vasprun_292.xml,-412.86687,0.10302000000001499,90,-412.76385
323,OSZICAR_323,vasprun_323.xml,-412.86673,0.2816600000000449,76,-412.58507
327,OSZICAR_327,vasprun_327.xml,-412.86687,0.10917999999998074,89,-412.75769
345,OSZICAR_345,vasprun_345.xml,-412.86679,0.10690999999997075,105,-412.75988
350,OSZICAR_350,vasprun_350.xml,-412.86686,0.10211999999995669,82,-412.76474
357,OSZICAR_357,vasprun_357.xml,-412.86691,0.1037600000000225,84,-412.76315
359,OSZICAR_359,vasprun_359.xml,-412.86677,0.10090999999999894,117,-412.76586
374,OSZICAR_374,vasprun_374.xml,-412.8666,0.1290300000000002,93,-412.73757
375,OSZICAR_375,vasprun_375.xml,-412.86687,0.1036900000000287,133,-412.76318
391,OSZICAR_391,vasprun_391.xml,-412.86689,0.14231000000000904,82,-412.72458
394,OSZICAR_394,vasprun_394.xml,-412.86666,0.11101000000002159,115,-412.75565
396,OSZICAR_396,vasprun_396.xml,-412.86677,0.20395999999999503,83,-412.66281
399,OSZICAR_399,vasprun_399.xml,-412.86687,0.11518999999998414,90,-412.75168
