#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.14e+01    1.14e+01      1.56e+00    1.56e+00      1.29e-01    1.22e-01    1.0e-03
    100      2.91e+00    3.18e+00      4.06e-03    4.48e-03      9.31e-02    1.02e-01    9.8e-04
    200      2.49e+00    2.47e+00      4.20e-03    4.11e-03      8.06e-02    7.98e-02    9.5e-04
    300      2.15e+00    2.26e+00      3.11e-03    3.12e-03      7.04e-02    7.39e-02    9.3e-04
    400      1.92e+00    1.86e+00      2.42e-03    2.50e-03      6.35e-02    6.15e-02    9.1e-04
    500      1.69e+00    1.82e+00      3.38e-03    3.37e-03      5.67e-02    6.09e-02    8.9e-04
    600      1.61e+00    1.56e+00      2.49e-03    2.40e-03      5.45e-02    5.27e-02    8.7e-04
    700      1.54e+00    1.53e+00      3.30e-03    3.31e-03      5.27e-02    5.25e-02    8.5e-04
    800      1.39e+00    1.49e+00      8.43e-03    8.62e-03      4.81e-02    5.17e-02    8.3e-04
    900      1.19e+00    1.25e+00      1.67e-03    1.77e-03      4.18e-02    4.40e-02    8.1e-04
   1000      1.24e+00    1.19e+00      1.94e-03    1.77e-03      4.41e-02    4.23e-02    7.9e-04
   1100      1.33e+00    1.25e+00      2.62e-03    2.66e-03      4.78e-02    4.49e-02    7.8e-04
   1200      1.18e+00    1.13e+00      3.44e-03    3.40e-03      4.28e-02    4.10e-02    7.6e-04
   1300      1.06e+00    1.19e+00      1.02e-03    1.17e-03      3.91e-02    4.36e-02    7.4e-04
   1400      1.08e+00    1.13e+00      4.12e-03    4.16e-03      4.00e-02    4.18e-02    7.2e-04
   1500      1.10e+00    1.14e+00      7.73e-04    8.05e-04      4.13e-02    4.30e-02    7.1e-04
   1600      1.06e+00    1.07e+00      1.52e-03    1.54e-03      4.01e-02    4.08e-02    6.9e-04
   1700      1.04e+00    1.03e+00      3.92e-03    3.88e-03      3.98e-02    3.95e-02    6.8e-04
   1800      9.80e-01    1.09e+00      2.16e-03    2.17e-03      3.81e-02    4.24e-02    6.6e-04
   1900      9.45e-01    9.99e-01      6.77e-04    7.58e-04      3.72e-02    3.93e-02    6.5e-04
   2000      1.00e+00    1.03e+00      3.85e-03    3.87e-03      3.98e-02    4.08e-02    6.3e-04
   2100      9.56e-01    9.07e-01      8.35e-04    8.10e-04      3.85e-02    3.65e-02    6.2e-04
   2200      9.16e-01    9.94e-01      3.96e-03    3.95e-03      3.72e-02    4.04e-02    6.0e-04
   2300      8.98e-01    8.95e-01      2.13e-03    2.15e-03      3.70e-02    3.68e-02    5.9e-04
   2400      9.74e-01    8.82e-01      3.28e-03    3.26e-03      4.06e-02    3.67e-02    5.8e-04
   2500      9.68e-01    9.57e-01      2.05e-03    1.91e-03      4.08e-02    4.03e-02    5.6e-04
